data_origin,synthetic_scenario,case_id,project_id,as_of_date,state,district,region,urban_rural,department,project_type,acquisition_method,project_priority,land_use_category,project_size_area,parcel_count,affected_landowner_count,ownership_complexity_score,disputed_ownership_flag,unresolved_record_count,objection_count,unresolved_objection_count,required_document_count,missing_document_count,invalid_document_count,document_verification_pending_count,document_completeness_ratio,approval_stage_count,pending_approval_count,interdepartment_dependency_count,blocked_dependency_count,assessed_compensation_amount,approved_compensation_amount,pending_compensation_amount,compensation_approval_pending_flag,payment_processing_days,open_legal_case_count,legal_dispute_flag,stay_order_flag,hearing_count,current_stage,days_in_current_stage,overdue_days,average_stage_duration_days,historical_department_delay_rate,historical_district_delay_rate,department_workload_index,milestone_slippage_count,days_since_last_update,acquisition_complexity_score,prediction_horizon_days,significant_delay,actual_delay_days,risk_category,missing_optional_payment_history,missing_optional_hearing_history
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000028,SYN-PROJECT-00010,2023-11-13,Eastland,Dawn,EAST,URBAN,PUBLIC_WORKS,ROAD,CONSENT_BASED,LOW,MIXED,146.07,53,33,0.98,0,14,6,3,38,4,1,2,0.8763,4,2,2,0,56364772.11,0.0,0.0,1,54,0,0,0,1,OBJECTION_REVIEW,113,68,85,0.2869,0.1375,0.455,2,26,0.5119,90,0,22,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000029,SYN-PROJECT-00010,2022-07-30,Northland,Aster,NORTH,URBAN,URBAN,IRRIGATION,STATUTORY,MEDIUM,MIXED,88.443,41,31,0.98,1,13,2,2,31,6,1,5,0.7839,4,2,0,0,20879613.46,20220411.09,13027574.13,0,36,0,0,0,1,OBJECTION_REVIEW,147,71,95,0.4655,0.213,0.5028,3,23,0.4596,90,0,1,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000030,SYN-PROJECT-00010,2023-07-12,Southland,Indigo,SOUTH,RURAL,REVENUE,URBAN_EXPANSION,CONSENT_BASED,LOW,AGRICULTURAL,295.798,160,131,0.98,0,53,24,18,112,12,5,12,0.8616,4,0,1,1,83731874.14,0.0,0.0,1,69,1,1,1,7,OBJECTION_REVIEW,309,229,96,0.2979,0.4107,0.2571,7,33,0.7531,90,1,212,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000031,SYN-PROJECT-00011,2022-01-04,Southland,Harbor,SOUTH,URBAN,IRRIGATION,INDUSTRIAL_CORRIDOR,CONSENT_BASED,MEDIUM,RESIDENTIAL,53.067,19,25,0.98,0,9,3,2,18,1,0,0,0.9444,4,1,4,2,38758187.07,0.0,0.0,1,50,0,0,0,0,SURVEY,232,121,143,0.3519,0.3189,0.5673,4,32,0.4964,90,0,5,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000032,SYN-PROJECT-00011,2024-03-08,Eastland,Dawn,EAST,URBAN,TRANSPORT,ROAD,STATUTORY,HIGH,COMMERCIAL,181.004,88,115,0.98,0,45,0,0,70,7,2,6,0.88,5,1,0,0,90575385.37,84946206.59,28763374.52,0,43,0,0,0,0,NOTICE,60,0,59,0.2838,0.1872,0.4933,3,15,0.5346,90,0,0,HIGH,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000033,SYN-PROJECT-00011,2022-09-05,Eastland,Dawn,EAST,URBAN,REVENUE,URBAN_EXPANSION,DIRECT_PURCHASE,HIGH,COMMERCIAL,26.537,5,5,0.4868,0,0,6,3,8,0,1,2,0.9125,5,1,0,0,11580317.75,10484072.05,5104875.04,0,41,0,0,0,2,SURVEY,79,0,75,0.3164,0.1868,0.3165,1,11,0.2613,90,0,0,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000034,SYN-PROJECT-00012,2024-10-18,Northland,Birch,NORTH,RURAL,PUBLIC_WORKS,RAIL,CONSENT_BASED,HIGH,AGRICULTURAL,26.935,7,5,0.3258,0,1,0,0,9,0,0,1,1.0,5,2,4,2,10558377.24,0.0,0.0,1,36,0,0,0,0,PAYMENT,62,0,105,0.2622,0.2802,0.3741,2,11,0.2127,90,0,0,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000035,SYN-PROJECT-00012,2022-01-11,Eastland,Dawn,EAST,URBAN,REVENUE,IRRIGATION,DIRECT_PURCHASE,MEDIUM,MIXED,101.455,31,24,0.98,0,8,8,6,25,2,0,3,0.92,4,1,1,1,43041011.64,36740550.69,13771977.52,0,57,2,1,1,3,COMPENSATION,142,69,77,0.4068,0.1345,0.3434,4,20,0.5052,90,1,171,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000036,SYN-PROJECT-00012,2023-06-25,Southland,Grove,SOUTH,RURAL,IRRIGATION,IRRIGATION,STATUTORY,MEDIUM,AGRICULTURAL,27.449,22,9,0.4019,0,5,0,0,17,1,1,1,0.9,4,1,2,0,4412885.49,4130286.44,1144980.8,0,44,0,0,0,0,OBJECTION_REVIEW,47,0,88,0.3754,0.2333,0.336,1,11,0.2057,90,0,0,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000037,SYN-PROJECT-00013,2025-10-05,Eastland,Elm,EAST,RURAL,TRANSPORT,RAIL,DIRECT_PURCHASE,MEDIUM,AGRICULTURAL,58.43,74,101,0.98,1,41,13,9,60,6,3,6,0.865,4,1,3,1,11846933.9,10273138.78,3392113.97,0,51,0,0,0,4,SURVEY,120,27,92,0.4,0.3086,0.3358,3,17,0.6646,90,1,210,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000038,SYN-PROJECT-00013,2025-10-15,Westland,Juniper,WEST,RURAL,REVENUE,POWER_TRANSMISSION,STATUTORY,LOW,RESIDENTIAL,12.862,3,3,0.431,1,0,0,0,6,0,0,1,1.0,4,1,0,0,4462669.3,0.0,0.0,1,56,1,1,0,0,SURVEY,45,0,60,0.2801,0.2129,0.3376,1,9,0.1738,90,0,0,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000039,SYN-PROJECT-00013,2021-12-15,Westland,Kite,WEST,RURAL,REVENUE,POWER_TRANSMISSION,CONSENT_BASED,HIGH,AGRICULTURAL,131.448,117,162,0.98,0,65,42,20,93,12,5,10,0.8333,5,0,0,0,27280493.07,0.0,0.0,1,31,0,0,0,10,SURVEY,91,36,74,0.3586,0.3145,0.2339,1,13,0.7287,90,1,68,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000040,SYN-PROJECT-00014,2023-08-17,Southland,Grove,SOUTH,RURAL,IRRIGATION,URBAN_EXPANSION,STATUTORY,HIGH,AGRICULTURAL,126.316,53,43,0.98,0,17,0,0,40,3,1,3,0.9075,5,1,1,1,23689039.18,0.0,0.0,1,53,0,0,0,0,NOTICE,191,97,110,0.2784,0.1638,0.3342,3,24,0.4885,90,1,97,MEDIUM,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000041,SYN-PROJECT-00014,2024-11-01,Southland,Grove,SOUTH,RURAL,IRRIGATION,ROAD,STATUTORY,MEDIUM,AGRICULTURAL,501.583,248,261,0.98,1,103,62,34,180,23,9,21,0.8372,4,1,1,0,72975946.31,65877022.93,8155236.09,0,35,0,0,0,11,OBJECTION_REVIEW,213,154,64,0.449,0.1799,0.2593,5,26,0.7246,90,0,27,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000042,SYN-PROJECT-00014,2023-12-21,Westland,Kite,WEST,RURAL,URBAN,ROAD,DIRECT_PURCHASE,LOW,MIXED,85.517,31,71,0.98,1,26,11,6,32,4,0,1,0.875,4,1,1,0,44179638.97,43206140.68,14382802.57,0,36,0,0,0,2,AWARD,120,54,81,0.37,0.3018,0.1226,1,22,0.5239,90,0,9,MEDIUM,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000043,SYN-PROJECT-00015,2024-03-19,Southland,Grove,SOUTH,RURAL,PUBLIC_WORKS,ROAD,STATUTORY,MEDIUM,AGRICULTURAL,64.129,29,13,0.7243,0,6,5,3,22,2,0,3,0.9091,4,0,2,0,6515258.15,6422819.71,1505681.79,0,34,0,0,0,1,OBJECTION_REVIEW,76,14,94,0.3843,0.1742,0.3948,0,19,0.3671,90,0,0,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000044,SYN-PROJECT-00015,2021-09-25,Southland,Grove,SOUTH,RURAL,TRANSPORT,RAIL,DIRECT_PURCHASE,LOW,MIXED,38.053,55,93,0.98,0,36,34,18,48,5,3,5,0.8521,4,0,4,1,10589050.61,0.0,0.0,1,37,0,0,0,6,PAYMENT,88,0,82,0.359,0.1576,0.1565,0,9,0.6901,90,0,0,HIGH,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000045,SYN-PROJECT-00015,2025-01-01,Southland,Indigo,SOUTH,RURAL,URBAN,INDUSTRIAL_CORRIDOR,CONSENT_BASED,HIGH,AGRICULTURAL,76.012,67,200,0.98,0,79,21,13,71,10,4,9,0.8197,6,1,4,1,18999753.55,17121269.59,10854889.82,0,67,1,1,0,6,OBJECTION_REVIEW,350,236,144,0.3812,0.4061,0.3365,7,33,0.7276,90,1,221,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000046,SYN-PROJECT-00016,2022-06-27,Westland,Juniper,WEST,RURAL,REVENUE,IRRIGATION,CONSENT_BASED,HIGH,FOREST_EDGE,108.668,57,68,0.98,1,26,16,12,46,2,1,2,0.9413,5,1,4,2,18933535.61,17020514.18,6737666.78,0,45,0,0,0,4,COMPENSATION,76,3,91,0.3649,0.247,0.3835,2,11,0.6829,90,0,15,HIGH,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000047,SYN-PROJECT-00016,2021-10-04,Southland,Harbor,SOUTH,URBAN,REVENUE,INDUSTRIAL_CORRIDOR,STATUTORY,HIGH,COMMERCIAL,63.361,40,81,0.98,1,32,27,16,38,2,1,2,0.9289,6,2,3,0,49583661.0,0.0,0.0,1,35,0,0,0,6,PAYMENT,225,102,152,0.3205,0.2988,0.3713,4,21,0.6341,90,1,114,HIGH,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000048,SYN-PROJECT-00016,2024-07-19,Eastland,Frost,EAST,RURAL,REVENUE,POWER_TRANSMISSION,DIRECT_PURCHASE,MEDIUM,AGRICULTURAL,218.308,340,463,0.98,1,181,65,30,260,28,10,23,0.8654,4,2,0,0,53454506.5,0.0,0.0,1,46,2,1,0,13,COMPENSATION,431,379,41,0.2905,0.3989,0.2445,11,43,0.7106,90,1,300,CRITICAL,,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000049,SYN-PROJECT-00017,2024-08-10,Eastland,Elm,EAST,RURAL,PUBLIC_WORKS,POWER_TRANSMISSION,CONSENT_BASED,LOW,AGRICULTURAL,61.197,23,26,0.98,0,9,0,0,21,4,1,5,0.7762,4,1,1,1,12630615.52,12371740.03,5174255.75,0,57,0,0,0,0,NOTICE,65,12,56,0.3628,0.3058,0.373,2,12,0.3993,90,0,3,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000050,SYN-PROJECT-00017,2024-04-13,Northland,Cedar,NORTH,RURAL,PUBLIC_WORKS,INDUSTRIAL_CORRIDOR,STATUTORY,HIGH,RESIDENTIAL,106.791,42,68,0.98,1,27,19,11,37,5,0,2,0.8649,6,1,5,2,36963748.48,32991097.84,13373268.1,0,39,0,0,0,4,COMPENSATION,104,0,136,0.2887,0.4652,0.3333,1,10,0.685,90,0,6,MEDIUM,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000051,SYN-PROJECT-00017,2022-04-21,Northland,Cedar,NORTH,RURAL,IRRIGATION,URBAN_EXPANSION,CONSENT_BASED,LOW,AGRICULTURAL,167.082,38,34,0.98,1,13,1,1,30,6,2,6,0.7533,4,1,1,1,36242554.44,30819482.54,12576137.44,0,23,0,0,0,0,NOTICE,62,0,109,0.3979,0.4193,0.3869,1,12,0.4838,90,0,21,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000052,SYN-PROJECT-00018,2022-07-05,Northland,Aster,NORTH,URBAN,URBAN,ROAD,DIRECT_PURCHASE,CRITICAL,AGRICULTURAL,72.62,16,16,0.7675,0,6,2,1,15,1,1,0,0.8867,5,3,2,0,20204435.43,19429179.05,4097766.3,0,44,0,0,0,0,OBJECTION_REVIEW,60,0,76,0.4224,0.1411,0.5049,3,23,0.3475,90,0,0,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000053,SYN-PROJECT-00018,2024-10-17,Southland,Indigo,SOUTH,RURAL,TRANSPORT,POWER_TRANSMISSION,MIXED,HIGH,AGRICULTURAL,39.072,23,50,0.98,0,19,6,4,24,2,1,3,0.8875,5,1,2,0,5484643.26,4993371.09,1637142.92,0,38,0,0,0,2,AWARD,36,0,54,0.319,0.3742,0.2869,0,13,0.4474,90,0,13,LOW,0,0
